OrderID,CustomerID,ProductID,Quantity,OrderDate,Channel
O001,C001,P100,1,2024-09-01,Subscription
O002,C002,P101,2,2024-09-04,One-time
O003,C003,P102,1,2024-09-07,Subscription
O004,C004,P103,3,2024-09-10,One-time
O005,C005,P104,2,2024-09-13,Subscription
O006,C006,P105,1,2024-09-16,One-time
O007,C007,P106,2,2024-09-19,Subscription
O008,C008,P107,1,2024-09-22,One-time
O009,C009,P108,1,2024-09-25,Subscription
O010,C010,P109,3,2024-09-28,One-time
O011,C001,P102,2,2024-10-01,Subscription
O012,C002,P100,2,2024-10-04,One-time
O013,C003,P101,1,2024-10-07,Subscription
O014,C004,P104,1,2024-10-10,One-time
O015,C005,P105,1,2024-10-13,Subscription
O016,C006,P106,3,2024-10-16,One-time
O017,C007,P107,1,2024-10-19,Subscription
O018,C008,P108,2,2024-10-22,One-time
O019,C009,P109,1,2024-10-25,Subscription
O020,C010,P103,1,2024-10-28,One-time
