Timestamp,Demographic,Investor_Type,Buy (M),Sell (M),Net (M),Turnover (M)
2026-07-08 14:38:58,Egyptians,Ret.,7597.96,7827.58,-229.62,15425.54
2026-07-08 14:38:58,Egyptians,Inst.,1185.95,1132.79,53.16,2318.74
2026-07-08 14:38:58,Arabs,Ret.,210.62,173.97,36.65,384.59
2026-07-08 14:38:58,Arabs,Inst.,65.28,156.38,-91.1,221.66
2026-07-08 14:38:58,Foreigners,Ret.,16.15,4.19,11.96,20.34
2026-07-08 14:38:58,Foreigners,Inst.,703.81,484.85,218.96,1188.66
2026-07-12 10:44:12,Egyptians,Ret.,2082.14,2035.18,46.96,4117.32
2026-07-12 10:44:12,Egyptians,Inst.,182.85,194.91,-12.06,377.76
2026-07-12 10:44:12,Arabs,Ret.,22.75,63.32,-40.57,86.07
2026-07-12 10:44:12,Arabs,Inst.,13.06,9.75,3.31,22.81
2026-07-12 10:44:12,Foreigners,Ret.,0.83,0.38,0.45,1.21
2026-07-12 10:44:12,Foreigners,Inst.,7.97,6.08,1.89,14.05
2026-07-12 10:44:14,Egyptians,Ret.,2094.55,2047.38,47.17,4141.93
2026-07-12 10:44:14,Egyptians,Inst.,183.77,196.04,-12.27,379.81
2026-07-12 10:44:14,Arabs,Ret.,22.75,63.32,-40.57,86.07
2026-07-12 10:44:14,Arabs,Inst.,13.06,9.75,3.31,22.81
2026-07-12 10:44:14,Foreigners,Ret.,0.83,0.39,0.44,1.22
2026-07-12 10:44:14,Foreigners,Inst.,7.98,6.08,1.9,14.06
2026-07-12 10:44:19,Egyptians,Ret.,2094.55,2047.38,47.17,4141.93
2026-07-12 10:44:19,Egyptians,Inst.,183.77,196.04,-12.27,379.81
2026-07-12 10:44:19,Arabs,Ret.,22.75,63.32,-40.57,86.07
2026-07-12 10:44:19,Arabs,Inst.,13.06,9.75,3.31,22.81
2026-07-12 10:44:19,Foreigners,Ret.,0.83,0.39,0.44,1.22
2026-07-12 10:44:19,Foreigners,Inst.,7.98,6.08,1.9,14.06
